"","MONTH","OP_CARRIER","ORIGIN","DEP_DELAY"
"203",1,"WN","PDX",0
"204",1,"WN","PDX",-2
"205",1,"WN","PDX",-1
"206",1,"WN","PDX",5
"207",1,"WN","PDX",-2
"208",1,"WN","PDX",0
"209",1,"WN","PDX",-7
"210",1,"WN","PDX",-3
"211",1,"WN","PDX",0
"212",1,"WN","PDX",-2
"213",1,"WN","PDX",-2
"214",1,"WN","PDX",-6
"215",1,"WN","PDX",1
"216",1,"WN","PDX",-1
"217",1,"WN","PDX",13
"218",1,"WN","PDX",-4
"219",1,"WN","PDX",-3
"220",1,"WN","PDX",4
"221",1,"WN","PDX",-3
"222",1,"WN","PDX",-2
"223",1,"WN","PDX",6
"224",1,"WN","PDX",7
"225",1,"WN","PDX",201
"226",1,"WN","PDX",-5
"227",1,"WN","PDX",-4
"228",1,"WN","PDX",4
"229",1,"WN","PDX",-5
"230",1,"WN","PDX",-2
"231",1,"WN","PDX",4
"232",1,"WN","PDX",-2
"233",1,"WN","PDX",-5
"234",1,"WN","PDX",9
"235",1,"WN","PDX",-3
"236",1,"WN","PDX",3
"237",1,"WN","PDX",-3
"238",1,"WN","PDX",-2
"239",1,"WN","PDX",11
"240",1,"WN","PDX",-3
"241",1,"WN","PDX",5
"242",1,"WN","PDX",-6
"243",1,"WN","PDX",3
"244",1,"WN","PDX",44
"245",1,"WN","PDX",-1
"246",1,"WN","PDX",-1
"247",1,"WN","PDX",4
"248",1,"WN","PDX",0
"249",1,"WN","PDX",-6
"250",1,"WN","PDX",-4
"251",1,"WN","PDX",-3
"252",1,"WN","PDX",-2
"253",1,"WN","PDX",17
"254",1,"WN","PDX",-3
"255",1,"WN","PDX",-5
"256",1,"WN","PDX",-3
"257",1,"WN","PDX",-4
"258",1,"WN","PDX",-1
"259",1,"WN","PDX",3
"260",1,"WN","PDX",9
"261",1,"WN","PDX",-2
"262",1,"WN","PDX",1
"263",1,"WN","PDX",-5
"264",1,"WN","PDX",-6
"265",1,"WN","PDX",-4
"266",1,"WN","PDX",4
"267",1,"WN","PDX",8
"268",1,"WN","PDX",-6
"269",1,"WN","PDX",-4
"270",1,"WN","PDX",13
"271",1,"WN","PDX",-2
"272",1,"WN","PDX",-4
"273",1,"WN","PDX",-5
"274",1,"WN","PDX",-1
"275",1,"WN","PDX",-2
"276",1,"WN","PDX",-5
"277",1,"WN","PDX",-6
"278",1,"WN","PDX",4
"279",1,"WN","PDX",223
"280",1,"WN","PDX",-4
"281",1,"WN","PDX",-5
"282",1,"WN","PDX",0
"283",1,"WN","PDX",-3
"284",1,"WN","PDX",1
"285",1,"WN","PDX",-3
"286",1,"WN","PDX",-4
"287",1,"WN","PDX",-2
"288",1,"WN","PDX",0
"289",1,"WN","PDX",-7
"290",1,"WN","PDX",0
"291",1,"WN","PDX",-5
"292",1,"WN","PDX",-3
"293",1,"WN","PDX",9
"294",1,"WN","PDX",25
"295",1,"WN","PDX",-1
"296",1,"WN","PDX",0
"297",1,"WN","PDX",4
"298",1,"WN","PDX",-1
"299",1,"WN","PDX",-6
"300",1,"WN","PDX",-7
"301",1,"WN","PDX",-8
"302",1,"WN","PDX",-7
"303",1,"WN","PDX",-6
"304",1,"WN","PDX",-5
"305",1,"WN","PDX",-7
"306",1,"WN","PDX",-11
"307",1,"WN","PDX",-2
"308",1,"WN","PDX",-5
"309",1,"WN","PDX",-8
"310",1,"WN","PDX",2
"311",1,"WN","PDX",-2
"312",1,"WN","PDX",-3
"313",1,"WN","PDX",2
"314",1,"WN","PDX",0
"315",1,"WN","PDX",0
"316",1,"WN","PDX",-5
"317",1,"WN","PDX",-2
"318",1,"WN","PDX",-1
"319",1,"WN","PDX",-4
"320",1,"WN","PDX",-2
"321",1,"WN","PDX",-4
"322",1,"WN","PDX",2
"323",1,"WN","PDX",-4
"324",1,"WN","PDX",-5
"325",1,"WN","PDX",-4
"326",1,"WN","PDX",-2
"327",1,"WN","PDX",-5
"328",1,"WN","PDX",-2
"329",1,"WN","PDX",2
"330",1,"WN","PDX",-5
"331",1,"WN","PDX",-2
"332",1,"WN","PDX",-4
"333",1,"WN","PDX",-3
"334",1,"WN","PDX",-5
"335",1,"WN","PDX",-2
"336",1,"WN","PDX",-7
"337",1,"WN","PDX",-5
"338",1,"WN","PDX",-8
"339",1,"WN","PDX",-4
"340",1,"WN","PDX",-5
"341",1,"WN","PDX",-6
"342",1,"WN","PDX",-4
"343",1,"WN","PDX",-1
"344",1,"WN","PDX",2
"345",1,"WN","PDX",-2
"346",1,"WN","PDX",-1
"347",1,"WN","PDX",-2
"348",1,"WN","PDX",9
"349",1,"WN","PDX",1
"350",1,"WN","PDX",6
"351",1,"WN","PDX",0
"352",1,"WN","PDX",NA
"353",1,"WN","PDX",-6
"354",1,"WN","PDX",-5
"355",1,"WN","PDX",-3
"356",1,"WN","PDX",11
"357",1,"WN","PDX",7
"358",1,"WN","PDX",25
"359",1,"WN","PDX",-3
"360",1,"WN","PDX",-1
"361",1,"WN","PDX",3
"362",1,"WN","PDX",3
"363",1,"WN","PDX",-4
"364",1,"WN","PDX",-6
"365",1,"WN","PDX",-6
"366",1,"WN","PDX",14
"367",1,"WN","PDX",-4
"368",1,"WN","PDX",12
"369",1,"WN","PDX",-9
"370",1,"WN","PDX",32
"371",1,"WN","PDX",0
"372",1,"WN","PDX",-1
"373",1,"WN","PDX",0
"374",1,"WN","PDX",-3
"375",1,"WN","PDX",-5
"376",1,"WN","PDX",-5
"377",1,"WN","PDX",-6
"378",1,"WN","PDX",-4
"379",1,"WN","PDX",-1
"380",1,"WN","PDX",-2
"381",1,"WN","PDX",-1
"382",1,"WN","PDX",6
"383",1,"WN","PDX",-2
"384",1,"WN","PDX",-5
"385",1,"WN","PDX",-4
"386",1,"WN","PDX",-2
"387",1,"WN","PDX",-1
"388",1,"WN","PDX",-3
"389",1,"WN","PDX",-6
"390",1,"WN","PDX",-4
"391",1,"WN","PDX",-1
"392",1,"WN","PDX",5
